month,year,tot_r_stock,h_r_stock,c_r_stock,nfa,price,imports,production
1,1995,1497.8,1028.8,416.4,52.6,5.4,,
2,1995,1260.8,803.9,406.4,50.5,5.1,,
3,1995,1120.1,700.3,373.5,46.3,5.1,,2288317.00
4,1995,1253,801.3,411.5,40.2,5.6,,
5,1995,1321.5,837.2,447.6,36.7,7,,
6,1995,1200.4,673.3,494.2,32.9,8.3,,2090216.00
7,1995,940.7,537.5,375.7,27.5,10.3,,
8,1995,703.6,437.3,241.9,24.4,16.6,,
9,1995,524.4,354.5,126.8,43.1,26.8,,1876635.00
10,1995,813.3,610.6,171.8,30.9,25.3,,
11,1995,1365.1,1014.4,285,65.7,23.6,,
12,1995,1578,1185.5,330.7,61.8,22.5,,4282886.00
1,1996,1422.3,1019.9,325.1,77.3,29.3,,
2,1996,1309.1,862.5,306,140.6,31,,
3,1996,1196.7,745.7,272.2,178.8,30.4,,2272045.00
4,1996,1522.5,928.8,288.3,305.4,29.6,,
5,1996,1796.8,973.5,379.7,443.6,27.8,,
6,1996,1726.7,788.1,393.8,544.8,25.6,,2045286.00
7,1996,1602.8,714.5,362.4,525.9,22.1,,
8,1996,1269.2,545.9,327,396.3,14.1,,
9,1996,1132.2,501.4,312.7,318.1,4.4,,1785510.00
10,1996,1327.1,746.8,322.6,257.7,4.9,,
11,1996,1708.2,993.9,427.9,286.4,5.1,,
12,1996,1968.6,1211.3,470.2,287.1,6.3,,4437808.00
1,1997,1793,1015.8,465.6,311.6,-1.7,,
2,1997,1520.8,857.7,417.6,245.5,-2.8,,
3,1997,1412,780.3,390.9,240.8,-1.9,,2523794.00
4,1997,1629.4,952.9,374.8,301.7,-1.7,,
5,1997,1962,1055.1,421.7,485.2,-2,,
6,1997,1891.8,839.2,439.2,613.4,-1.9,,2427116.00
7,1997,1819.4,683.9,394.8,740.7,-1.7,,
8,1997,1600.2,552.8,348.4,699,0.4,,
9,1997,1352.6,457.2,292.3,603.1,1.1,,2116498.00
10,1997,1410.3,582.1,324.6,503.6,1.8,,
11,1997,2059.9,1148.9,464.9,446.1,2.9,,
12,1997,2278.1,1304.8,528.7,444.6,2.2,,4216160.00
1,1998,1979.4,1088.1,448.2,443.1,2.5,,
2,1998,1871.1,898,397.4,575.7,2.9,,
3,1998,1848.1,754.8,408.1,685.2,2.6,,2563757.00
4,1998,2221.7,890.2,521,810.5,2.3,,
5,1998,2270.6,856.1,534.4,880.1,2.6,,
6,1998,2119.5,708.7,524.1,886.7,4.8,,2282704.00
7,1998,1944.9,595.3,419.8,929.8,5.1,,
8,1998,1723.8,492.3,334.3,897.2,3.2,,
9,1998,1654.2,417,325.8,911.4,5.5,,1788141.00
10,1998,1710.7,549.7,305.4,855.6,2.9,,
11,1998,2071.9,853.6,358.9,859.4,4.8,,
12,1998,2413.6,1005,500.4,908.2,3.6,,4634361.00
1,1999,2279.3,955.5,414.5,909.3,5.6,,
2,1999,2144.6,786.3,389.7,968.6,5.6,,
3,1999,2160.7,768.1,303.9,1088.7,5.2,,2220968.00
4,1999,2419.8,939.3,359.2,1121.3,5.1,,
5,1999,2710.9,1046.3,503.5,1161.1,4.4,,
6,1999,2574.1,839.9,488.1,1246.1,2.4,,1338008.00
7,1999,2381.1,685.5,461.5,1234.1,2.1,,
8,1999,2221.2,603.6,511.5,1106.1,1.7,,
9,1999,1886.1,533.8,401.9,950.4,-1.2,,1284443.00
10,1999,2032.9,735.4,436.8,860.7,0.5,,
11,1999,2440.9,1131.5,488.9,820.5,-2.2,,
12,1999,2610,1263.1,540,806.9,-0.2,,3711405.00
1,2000,2364.5,1149.7,488.2,726.6,-1.7,,
2,2000,2042.3,1009.5,420.6,612.2,-1,,
3,2000,1765.7,832.2,381,552.5,-0.6,,2996188.00
4,2000,1874.9,954.4,441.2,479.3,-0.1,,
5,2000,2067,1059.5,509.6,497.9,1.1,,
6,2000,1835.9,800.3,485.5,550.1,1.3,,2275865.00
7,2000,1628.6,665.5,456.8,506.3,2.1,,
8,2000,1373.8,551.9,360,461.9,2.8,,
9,2000,1195,510.6,326.4,358,3,,2248702.00
10,2000,1485.1,730.4,410.8,343.9,4,,
11,2000,2010.8,1197.6,410.3,402.9,5.1,,
12,2000,2277.6,1337.9,471.9,467.8,5.1,,4265870.00
1,2001,2166.1,1212.6,492.4,461.1,4.4,,
2,2001,1879.4,937.7,487.1,454.6,2.8,,
3,2001,1837.8,845.3,485.6,506.9,2.4,,2856356.00
4,2001,2110.7,1088.9,502.7,519.1,2.2,,
5,2001,2263.3,1076.3,610.1,576.9,1.4,,
6,2001,2248,859.9,631,757.1,1.4,,2586140.00
7,2001,2034.9,723.3,498.1,813.5,1.1,,
8,2001,1851.3,586.7,408.7,855.9,0.4,,
9,2001,1719.3,503.9,424.1,791.3,0.4,,2412610.00
10,2001,1872.6,713.7,440.3,718.6,0.1,,
11,2001,2594.4,1371.9,524.7,697.8,-0.1,,
12,2001,2598,1365.2,524.5,708.3,-0.2,,4534306.00
1,2002,2270.7,1111.7,473.5,685.5,0.5,,
2,2002,1975.2,922.8,429.1,623.3,0.9,,
3,2002,1808.2,829.9,404.8,573.5,1.2,,2813930.00
4,2002,1997.2,1050.6,431.4,515.2,0.9,,
5,2002,2113.2,1135.2,482.1,495.9,1.3,,
6,2002,1788.9,848.3,479.9,460.7,1.1,,2753901.00
7,2002,1534.7,706.4,386,442.3,1.8,,
