month,year,count
1,1995,0
2,1995,0
3,1995,0
4,1995,0
5,1995,1
6,1995,0
7,1995,2
8,1995,3
9,1995,4
10,1995,4
11,1995,0
12,1995,2
1,1996,0
2,1996,1
3,1996,0
4,1996,1
5,1996,2
6,1996,0
7,1996,3
8,1996,2
9,1996,4
10,1996,2
11,1996,2
12,1996,0
1,1997,1
2,1997,0
3,1997,0
4,1997,0
5,1997,1
6,1997,2
7,1997,3
8,1997,3
9,1997,0
10,1997,1
11,1997,2
12,1997,1
1,1998,0
2,1998,0
3,1998,0
4,1998,0
5,1998,0
6,1998,0
7,1998,1
8,1998,3
9,1998,3
10,1998,2
11,1998,1
12,1998,1
1,1999,1
2,1999,1
3,1999,0
4,1999,2
5,1999,0
6,1999,2
7,1999,2
8,1999,2
9,1999,2
10,1999,2
11,1999,2
12,1999,0
1,2000,0
2,2000,0
3,2000,0
4,2000,0
5,2000,3
6,2000,0
7,2000,4
8,2000,2
9,2000,3
10,2000,3
11,2000,2
12,2000,1
1,2001,0
2,2001,1
3,2001,0
4,2001,1
5,2001,1
6,2001,2
7,2001,4
8,2001,1
9,2001,2
10,2001,1
11,2001,3
12,2001,1
1,2002,1
2,2002,0
3,2002,2
4,2002,0
5,2002,1
6,2002,2
7,2002,5
8,2002,2
9,2002,0
10,2002,0
11,2002,0
12,2002,0
1,2003,0
2,2003,0
3,2003,0
4,2003,1
5,2003,3
6,2003,1
7,2003,4
8,2003,6
9,2003,4
10,2003,3
11,2003,2
12,2003,1
1,2004,0
2,2004,1
3,2004,1
4,2004,1
5,2004,2
6,2004,4
7,2004,1
8,2004,3
9,2004,4
10,2004,3
11,2004,4
12,2004,1
1,2005,0
2,2005,0
3,2005,1
4,2005,1
5,2005,1
6,2005,1
7,2005,3
8,2005,2
9,2005,4
10,2005,1
11,2005,2
12,2005,1
1,2006,1
2,2006,0
3,2006,1
4,2006,0
5,2006,1
6,2006,1
7,2006,4
8,2006,3
9,2006,2
10,2006,3
11,2006,2
12,2006,2
1,2007,0
2,2007,0
3,2007,0
4,2007,0
5,2007,1
6,2007,0
7,2007,1
8,2007,3
9,2007,3
10,2007,2
11,2007,3
12,2007,0
1,2008,0
2,2008,0
3,2008,0
4,2008,1
5,2008,4
6,2008,1
7,2008,3
8,2008,3
9,2008,4
10,2008,0
11,2008,4
12,2008,1
1,2009,1
2,2009,1
3,2009,0
4,2009,0
5,2009,3
6,2009,1
7,2009,4
8,2009,1
9,2009,4
10,2009,4
11,2009,2
12,2009,1
1,2010,0
2,2010,0
3,2010,1
4,2010,0
5,2010,0
6,2010,0
7,2010,2
8,2010,4
9,2010,2
10,2010,2
11,2010,0
12,2010,0
1,2011,0
2,2011,0
3,2011,0
4,2011,1
5,2011,2
6,2011,3
7,2011,6
8,2011,1
9,2011,4
10,2011,1
11,2011,0
12,2011,1
1,2012,0
2,2012,0
3,2012,0
4,2012,1
5,2012,2
6,2012,1
7,2012,3
8,2012,3
9,2012,3
10,2012,0
11,2012,3
12,2012,0
1,2013,2
2,2013,1
3,2013,0
4,2013,0
5,2013,0
6,2013,4
7,2013,3
8,2013,4
9,2013,2
10,2013,6
11,2013,3
12,2013,0
1,2014,2
2,2014,0
3,2014,1
4,2014,1
5,2014,0
6,2014,1
7,2014,4
8,2014,1
9,2014,3
10,2014,2
11,2014,2
12,2014,2
1,2015,1
2,2015,0
3,2015,2
4,2015,0
5,2015,1
6,2015,1
7,2015,3
8,2015,1
9,2015,2
10,2015,1
11,2015,1
12,2015,2
1,2016,0
2,2016,0
3,2016,0
4,2016,0
5,2016,0
6,2016,1
7,2016,2
8,2016,1
9,2016,4
10,2016,4
11,2016,1
12,2016,1
1,2017,1
2,2017,1
3,2017,0
4,2017,2
5,2017,0
6,2017,0
7,2017,4
8,2017,2
9,2017,4
10,2017,3
11,2017,3
12,2017,2
1,2018,1
2,2018,1
3,2018,1
4,2018,0
5,2018,0
6,2018,2
7,2018,5
8,2018,2
9,2018,4
10,2018,2
11,2018,2
12,2018,1
1,2019,1
2,2019,0
3,2019,2
4,2019,0
5,2019,0
6,2019,1
7,2019,3
8,2019,3
9,2019,5
10,2019,1
11,2019,3
12,2019,2
1,2020,0
2,2020,0
3,2020,0
4,2020,0
5,2020,1
6,2020,1
7,2020,1
8,2020,8
9,2020,3
10,2020,5
11,2020,2
12,2020,1
